Name,latitude,longitude,total_weight,total_quantity,user_id,types,skills,locality_key,delivery_preference,priority,area_id,return_weight_used
mayank provision store,12.8477177,77.5152785,980,35,10134,,delivery,560082#thathaguni-bengaluru_karnataka,10,32,5142,false
mathaji provision store,12.8666249,77.5754078,26,1,10262,,delivery,560062#vasanthapura-bengaluru_karnataka,10,32,5142,false
mount Carmel Enterprises,12.7720591,77.5306712,389.72,22,9992,,delivery,560082#somanahalli-bengaluru_karnataka,10,32,5142,false
kaveri provison store,12.779567,77.497513,375,20,10084,,delivery,560082#somanahalli-bengaluru_karnataka,10,32,5142,false
pooja provisional store,12.8824044,77.5661055,78,3,10200,,delivery,560062#konanakunte-bengaluru_karnataka,10,32,5142,false
sree Vasudev provision store,12.8646947,77.5768496,52,2,10494,,delivery,560078#yelachenahalli-bengaluru_karnataka,10,32,5142,false
mataji stor,12.8598549,77.5632177,546.9,61,9675,,delivery,560062#vasanthapura-bengaluru_karnataka,10,32,5142,false
Sri Ganesha provision stores,12.8964107,77.5739735,60,3,10917,,delivery,560078#ilyasnagar-bengaluru_karnataka,10,32,5142,false
K .J. STORE,12.8722993,77.5662314,130,5,9711,,delivery,560062#vasanthapura-bengaluru_karnataka,10,32,5142,false
sri adi bhairaweshwara provision store,12.862053,77.5633587,60,2,9655,,delivery,560062#konanakunte-bengaluru_karnataka,10,32,5142,false
Venkateshwara tredars,12.869423470809936,77.54331674426794,250.70000000000002,21,9947,,delivery,560062#konanakunte-bengaluru_karnataka,10,32,5142,false
vaibhav traders,12.8026368,77.5085631,234,9,10003,,delivery,560082#kaggalipura-bengaluru_karnataka,10,32,5142,false
sri raitamitra rice traders,12.8686203,77.5818218,230,9,10664,,delivery,560078#yelachenahalli-bengaluru_karnataka,10,32,5142,false
S L V T STORE,12.8609096,77.5659724,234,9,9971,,delivery,560062#vasanthapura-bengaluru_karnataka,10,32,5142,false
Ashwini provision store,12.8561864,77.5766675,5,5,10527,,delivery,560062#vasanthapura-bengaluru_karnataka,10,32,5142,false
SRI S.L.V STORES,12.8613229,77.5653726,182,7,10136,,delivery,560062#vasanthapura-bengaluru_karnataka,10,32,5142,false
kumaraswamy store,12.9000454,77.5760772,64.1,6,10960,,delivery,560078#ilyasnagar-bengaluru_karnataka,10,32,5142,false
p k m Store,12.896779,77.5745981,59.4,4,10898,,delivery,560078#ilyasnagar-bengaluru_karnataka,10,32,5142,false
janapriya store,12.8715447,77.5663597,530,13,9636,,delivery,560062#vasanthapura-bengaluru_karnataka,10,,,false
Sri Ragavendra Swamy Provision  Store,12.9737483,77.48972,353,22,5030,,delivery,560091#muddinapalya-bengaluru_karnataka,10,23,5078,false
Lakshmi traders,12.9528886,77.4994129,104,4,5770,,delivery,560056#jnanabharthinagar-bengaluru_karnataka,10,23,5078,false
Shree bhairaveshwara rice traders,12.9685621,77.5023401,283.22999999999996,40,5436,,delivery,560072#papareddypalya-bengaluru_karnataka,10,23,5078,false
Srinivasa departmental store,12.971301,77.4967783,280,12,5151,,delivery,560091#muddinapalya-bengaluru_karnataka,3,23,5078,false
Nanjundeshwara provision store,12.9377891,77.4811951,250,5,5744,,delivery,560056#jnanabharthinagar-bengaluru_karnataka,10,23,5078,false
Sri Ramanjaneya provision store,12.9597699,77.4670872,65.57,15,7163,,delivery,560060#ramasandra-bengaluru_karnataka,10,23,5078,false
Chikpet Donne Biriyani,12.9797393,77.5104579,117.75,12,6097,,delivery,560072#bdacomplexnagarabhavi-bengaluru_karnataka,10,23,5078,false
sri Nanjundeshwara provision store,12.9620422,77.5034958,308,10,9881,,delivery,560056#kengunte-bengaluru_karnataka,10,23,5078,false
J. R RAJANNA PROVISION STORE,12.9576009,77.4752073,67.25999999999999,11,9344,,delivery,560110#ullal-bengaluru_karnataka,10,23,5078,false
Sri Lakshmi Venkateshwara provision genaral store,12.9453942,77.4963396,114,5,5967,,delivery,560056#jnanabharthinagar-bengaluru_karnataka,10,23,5078,false
MAMATHA KIRANA STORE,12.955489,77.467113,426,18,6695,,delivery,560060#ramasandra-bengaluru_karnataka,10,23,5078,false
devraj,12.9470689,77.4977737,345.7,14,10321,,delivery,560056#mariappanapalya-bengaluru_karnataka,10,23,5078,false
Asha Hotel,12.950953737365788,77.48710568994284,288,10,9859,,delivery,560110#ullal-bengaluru_karnataka,10,23,5078,false
